Season,Ranking,Team,Points_per_game,Season_average_points_per_team,Classified_to,Goal_difference_per_game,Competition
202122,1,Real Madrid,2.27,1.3385,1,1.23,Champions League
202122,2,Sevilla,2.09,1.3385,1,0.82,Champions League
202122,3,Betis,1.82,1.3385,1,0.73,Champions League
202122,4,Atletico de Madrid,1.71,1.3385,1,0.48,Champions League
202122,5,Barcelona,1.67,1.3385,2,0.43,Other Europe
202122,6,Real Sociedad,1.62,1.3385,2,0.05,Other Europe
202122,7,Villarreal,1.45,1.3385,3,0.59,La Liga
202122,8,Rayo Vallecano,1.48,1.3385,3,0.24,La Liga
202122,9,Athletic Club,1.41,1.3385,3,0.18,La Liga
202122,10,Valencia,1.32,1.3385,3,-0.05,La Liga
202122,11,Osasuna,1.27,1.3385,3,-0.23,La Liga
202122,12,Celta Vigo,1.23,1.3385,3,0.05,La Liga
202122,13,Espanyol,1.23,1.3385,3,-0.18,La Liga
202122,14,Granada,1.09,1.3385,3,-0.32,La Liga
202122,15,Elche,1.05,1.3385,3,-0.32,La Liga
202122,16,Getafe,1,1.3385,3,-0.27,La Liga
202122,17,Mallorca,0.95,1.3385,3,-0.76,La Liga
202122,18,Cadiz,0.82,1.3385,4,-0.77,Relegation
202122,19,Alaves,0.77,1.3385,4,-0.86,Relegation
202122,20,Levante,0.52,1.3385,4,-1.05,Relegation
202021,1,Atletico de Madrid,2.26,1.3565,1,1.11,Champions League
202021,2,Real Madrid,2.21,1.3565,1,1.03,Champions League
202021,3,Barcelona,2.08,1.3565,1,1.24,Champions League
202021,4,Sevilla,2.03,1.3565,1,0.53,Champions League
202021,5,Real Sociedad,1.63,1.3565,2,0.55,Other Europe
202021,6,Betis,1.61,1.3565,2,0,Other Europe
202021,7,Villarreal,1.53,1.3565,3,0.42,La Liga
202021,8,Celta Vigo,1.39,1.3565,3,-0.05,La Liga
202021,9,Granada,1.21,1.3565,3,-0.47,La Liga
202021,10,Athletic Club,1.21,1.3565,3,0.11,La Liga
202021,11,Osasuna,1.16,1.3565,3,-0.29,La Liga
202021,12,Cadiz,1.16,1.3565,3,-0.58,La Liga
202021,13,Valencia,1.13,1.3565,3,-0.08,La Liga
202021,14,Levante,1.08,1.3565,3,-0.29,La Liga
202021,15,Getafe,1,1.3565,3,-0.39,La Liga
202021,16,Alaves,1,1.3565,3,-0.55,La Liga
202021,17,Elche,0.95,1.3565,3,-0.55,La Liga
202021,18,Huesca,0.89,1.3565,4,-0.5,Relegation
202021,19,Valladolid,0.82,1.3565,4,-0.61,Relegation
202021,20,Eibar,0.79,1.3565,4,-0.61,Relegation
201920,1,Real Madrid,2.29,1.3618,1,1.18,Champions League
201920,2,Barcelona,2.16,1.3618,1,1.26,Champions League
201920,3,Atletico de Madrid,1.84,1.3618,1,0.63,Champions League
201920,4,Sevilla,1.84,1.3618,1,0.53,Champions League
201920,5,Villarreal,1.58,1.3618,2,0.37,Other Europe
201920,6,Real Sociedad,1.47,1.3618,2,0.21,Other Europe
201920,7,Granada,1.47,1.3618,3,0.18,La Liga
201920,8,Getafe,1.42,1.3618,3,0.16,La Liga
201920,9,Valencia,1.39,1.3618,3,-0.18,La Liga
201920,10,Osasuna,1.37,1.3618,3,-0.21,La Liga
201920,11,Athletic Club,1.34,1.3618,3,0.08,La Liga
201920,12,Levante,1.29,1.3618,3,-0.16,La Liga
201920,13,Valladolid,1.11,1.3618,3,-0.29,La Liga
201920,14,Eibar,1.11,1.3618,3,-0.45,La Liga
201920,15,Betis,1.08,1.3618,3,-0.32,La Liga
201920,16,Alaves,1.03,1.3618,3,-0.66,La Liga
201920,17,Celta Vigo,0.97,1.3618,3,-0.32,La Liga
201920,18,Leganes,0.95,1.3618,4,-0.55,Relegation
201920,19,Mallorca,0.87,1.3618,4,-0.66,Relegation
201920,20,Espanyol,0.66,1.3618,4,-0.82,Relegation
201819,1,Barcelona,2.29,1.3552,1,1.42,Champions League
201819,2,Atletico de Madrid,2,1.3552,1,0.68,Champions League
201819,3,Real Madrid,1.79,1.3552,1,0.45,Champions League
